record - recordId,record - aatNedId,record - subjectId,record - status,record - pt,record - bt,record - uf,record - eq
300054280,800014065,300054280,voorkeursterm,esthetica,filosofie,,
300054283,800014066,300054283,voorkeursterm,axiologie,filosofie,,
300054287,800014067,300054287,voorkeursterm,kosmografie,fysische wetenschappen,,
300054288,800014068,300054288,voorkeursterm,epistemologie,filosofie,,
300054290,800014069,300054290,voorkeursterm,ethiek,filosofie,,
300054292,800014070,300054292,voorkeursterm,logica,filosofie,,
300054293,800014071,300054293,voorkeursterm,metafysica,filosofie,metafysisch,metafysisch
300054294,800014072,300054294,voorkeursterm,kosmologie,metafysica,,
300054295,800014073,300054295,voorkeursterm,ontologie,metafysica,,
300054296,800014074,300054296,voorkeursterm,procesfilosofie,metafysica,,
300054297,800014075,300054297,voorkeursterm,fenomenologie,filosofie,,
300054298,800014076,300054298,voorkeursterm,redekunst,humane wetenschappen,,
300054299,800014077,300054299,voorkeursterm,godsdienstwetenschap en aanverwante vakgebieden,humane wetenschappen,,
300054300,800014078,300054300,voorkeursterm,godsdienstwetenschap,godsdienstwetenschap en aanverwante vakgebieden,,
300054302,800014079,300054302,voorkeursterm,vergelijkende theologie,godsdienstwetenschap,,
300054303,800014080,300054303,voorkeursterm,godsdienstfilosofie,godsdienstwetenschap,,
300054304,800014081,300054304,voorkeursterm,godsdienstpsychologie,godsdienstwetenschap,,
300054305,800014082,300054305,voorkeursterm,godsdienstsociologie,godsdienstwetenschap,,
300054306,800014083,300054306,voorkeursterm,aan religie verwante vakgebieden,godsdienstwetenschap en aanverwante vakgebieden,aan religie verwant vakgebied,aan religie verwant vakgebied
300054307,800014084,300054307,voorkeursterm,bijbelstudies,aan religie verwante vakgebieden,,
300054308,800014085,300054308,voorkeursterm,kerkgeschiedenis,aan religie verwante vakgebieden,,
300054309,800014086,300054309,voorkeursterm,vergelijkende godsdienstwetenschap,aan religie verwante vakgebieden,,
300054310,800014087,300054310,voorkeursterm,ecclesiologie,aan religie verwante vakgebieden,,
300054311,800014088,300054311,voorkeursterm,eschatologie,aan religie verwante vakgebieden,,
300054312,800014089,300054312,voorkeursterm,godsdienstethiek,aan religie verwante vakgebieden,,
300054313,800014090,300054313,voorkeursterm,theologie,aan religie verwante vakgebieden,,
300054314,800014091,300054314,voorkeursterm,sociale wetenschappen,vakgebieden,sociale wetenschap,sociale wetenschap
300054315,800014092,300054315,voorkeursterm,antropologie,gedragswetenschappen,,
300054316,800014093,300054316,voorkeursterm,etnologie,antropologie,,
300054319,800014094,300054319,voorkeursterm,etnografie,antropologie,,
300054321,800014095,300054321,voorkeursterm,filosofische antropologie,antropologie,,
300054322,800014096,300054322,voorkeursterm,fysische antropologie,antropologie,,
300054324,800014097,300054324,voorkeursterm,antropometrie,fysische antropologie,,
300054326,800014098,300054326,voorkeursterm,paleoantropologie,fysische antropologie,,
300054327,800014099,300054327,voorkeursterm,structurele antropologie,antropologie,,
300054328,800014100,300054328,voorkeursterm,archeologie,sociale wetenschappen,,
300054331,800014101,300054331,voorkeursterm,klassieke archeologie,archeologie,,
300054333,800014102,300054333,voorkeursterm,industriële archeologie,archeologie,,
300054339,800014103,300054339,voorkeursterm,onderwaterarcheologie,archeologie,,
300054343,800014104,300054343,voorkeursterm,zaken,handel en aanverwante functies,,
300054345,800014105,300054345,voorkeursterm,boekhouden,zaken,,
300054347,800014106,300054347,voorkeursterm,adverteren,communicatiewetenschap,,
300054348,800014107,300054348,voorkeursterm,bankwezen,zaken,,
300054349,800014108,300054349,voorkeursterm,communicatiewetenschap,sociale wetenschappen,,
300054351,800014109,300054351,voorkeursterm,uitzenden,communicatiewetenschap,,
300054354,800014110,300054354,voorkeursterm,journalistiek,communicatiewetenschap,,
300054355,800014111,300054355,voorkeursterm,telecommunicatie,communicatiewetenschap,,
300054356,800014112,300054356,voorkeursterm,criminologie,sociale wetenschappen,,
300054357,800014113,300054357,voorkeursterm,demografie,sociale wetenschappen,,
300054359,800014114,300054359,voorkeursterm,economie,sociale wetenschappen,,
300054360,800014115,300054360,voorkeursterm,onderwijs,sociale wetenschappen,,
300054361,800014116,300054361,voorkeursterm,onderwijs naar leeftijdsgroep of niveau,onderwijs,,
300054362,800014117,300054362,voorkeursterm,peuter- en kleuteronderwijs,onderwijs naar leeftijdsgroep of niveau,,
300054366,800014118,300054366,voorkeursterm,lager onderwijs,basisonderwijs,,
300054367,800014119,300054367,voorkeursterm,basisonderwijs,onderwijs naar leeftijdsgroep of niveau,,
300054368,800014120,300054368,voorkeursterm,middelbaar onderwijs,onderwijs naar leeftijdsgroep of niveau,,
300054370,800014121,300054370,voorkeursterm,hoger onderwijs,vervolgonderwijs,,
300054373,800014122,300054373,voorkeursterm,education permanente,volwassenenonderwijs,,
300054376,800014123,300054376,voorkeursterm,onderwijs naar subdiscipline,onderwijs,,
300054377,800014124,300054377,voorkeursterm,architectuuronderwijs,onderwijs naar onderwerp,,
300054384,800014125,300054384,voorkeursterm,planologie,sociale wetenschappen,,
300054385,800014126,300054385,voorkeursterm,ergonomie,sociale wetenschappen,,
300054387,800014127,300054387,voorkeursterm,genealogie,met geschiedenis verwante vakgebieden,,
300054388,800014128,300054388,voorkeursterm,geografie,sociale wetenschappen,,
300054389,800014129,300054389,voorkeursterm,fysische geografie,geografie,,
300017300,800006478,300017300,voorkeursterm,Midden Horizon,Precolumbiaanse Andesperioden,,
300017301,800006479,300017301,voorkeursterm,Atarco,Midden Horizon,,
300017302,800006480,300017302,voorkeursterm,Pachacamac,Midden Horizon,,
300017303,800006481,300017303,voorkeursterm,Pacheco,Midden Horizon,,
300017305,800006482,300017305,voorkeursterm,Tiahuanaco-stijl,Midden Horizon,,
300017313,800006483,300017313,voorkeursterm,Late Overgangstijd,Precolumbiaanse Andesperioden,,
300017315,800006484,300017315,voorkeursterm,Chancay-stijl,Late Overgangstijd,,
300017316,800006485,300017316,voorkeursterm,Chimú,Late Overgangstijd,,
300017319,800006486,300017319,voorkeursterm,Chincha,Late Overgangstijd,,
300017320,800006487,300017320,voorkeursterm,Marca Huamachuco,Late Overgangstijd,,
300017322,800006488,300017322,voorkeursterm,Ica-stijl,Late Overgangstijd,,
300017326,800006489,300017326,voorkeursterm,Inca,Late Overgangstijd,,
300017331,800006490,300017331,voorkeursterm,Lambayeque-stijl,Late Overgangstijd,,
300017332,800006491,300017332,voorkeursterm,Late Horizon,Precolumbiaanse Andesperioden,,
300017346,800006492,300017346,voorkeursterm,Precolumbiaanse Andesstijlen,Precolumbiaanse Andesstijlen en -perioden,Precolumbiaanse Andesstijl,Precolumbiaanse Andesstijl
300017347,800006493,300017347,voorkeursterm,zwart-wit-rood,Precolumbiaanse Andes pottenbakkersstijlen,,
300017350,800006494,300017350,voorkeursterm,Cursief-stijl,Precolumbiaanse Andes pottenbakkersstijlen,,
300017352,800006495,300017352,voorkeursterm,Inca Horizon,Precolumbiaanse Andes pottenbakkersstijlen,,
300017354,800006496,300017354,voorkeursterm,interlocking-stijl,Precolumbiaanse Andes pottenbakkersstijlen,,
300017357,800006497,300017357,voorkeursterm,wit-op-rood,Precolumbiaanse Andes pottenbakkersstijlen,wit-op-rood,wit-op-rood
300017361,800006498,300017361,voorkeursterm,Cerro Sechín,Vroege horizon,,
300017370,800006499,300017370,voorkeursterm,Aguda-cultuur,Precolumbiaanse Argentijnse perioden,,
300017372,800006500,300017372,voorkeursterm,Candelaria-cultuur,Precolumbiaanse Argentijnse perioden,,
300017376,800006501,300017376,voorkeursterm,Precolumbiaanse Chileense stijlen,Precolumbiaanse Zuid-Amerikaanse stijlen en perioden,Precolumbiaanse Chileense stijl,Precolumbiaanse Chileense stijl
300017377,800006502,300017377,voorkeursterm,Atacameños-cultuur,Precolumbiaanse Chileense stijlen,,
300017380,800006503,300017380,voorkeursterm,Barreales,Precolumbiaanse Argentijnse perioden,,
300017382,800006504,300017382,voorkeursterm,Diaguita-cultuur,Precolumbiaanse Chileense stijlen,,
300017384,800006505,300017384,voorkeursterm,Belén,aardewerkstijlen van de Diaguita's,,
300017385,800006506,300017385,voorkeursterm,drakenkeramiek,aardewerkstijlen van de Diaguita's,,
300017396,800006507,300017396,voorkeursterm,Precolumbiaanse Ecuadoriaanse perioden,Precolumbiaanse Zuid-Amerikaanse stijlen en perioden,Precolumbiaanse Ecuadoriaanse periode,Precolumbiaanse Ecuadoriaanse periode
300017397,800006508,300017397,voorkeursterm,Valdivia,Precolumbiaanse Ecuadoriaanse perioden,,
300017398,800006509,300017398,voorkeursterm,Machalilla,Precolumbiaanse Ecuadoriaanse perioden,,
300017399,800006510,300017399,voorkeursterm,Chorrera,Precolumbiaanse Ecuadoriaanse perioden,,
300017400,800006511,300017400,voorkeursterm,Jambeli,Chorrera,,
300017401,800006512,300017401,voorkeursterm,Bahia-fase,Chorrera,,
300051320,800013178,300051320,voorkeursterm,dag-nachtschoot combinatiesloten,sloten naar vorm,dag-nachtschoot combinatieslot,dag-nachtschoot combinatieslot
300051413,800013179,300051413,voorkeursterm,liftschachten,schachten,liftschacht,liftschacht
300051474,800013180,300051474,voorkeursterm,klimaatsystemen,systemen naar functie,klimaatsysteem,klimaatsysteem
300051479,800013181,300051479,voorkeursterm,verwarmingssystemen,klimaatsystemen,verwarmingssysteem,verwarmingssysteem
300051480,800013182,300051480,voorkeursterm,slotbouten,bouten naar vorm,slotbout,slotbout
300051483,800013183,300051483,voorkeursterm,rekbouten,bouten naar vorm,rekbout,rekbout
300051485,800013184,300051485,voorkeursterm,hanger bolts,bouten naar vorm,hanger bolt,hanger bolt
