ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F1N5,"Reussens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N1,"Reusens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N2,"Reusens, Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N3,"Reusens, Pierre-Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N5,"Reusens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N1,"Reussens-Joostens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N2,"Reussens-Joostens, Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N3,"Reussens-Joostens, Pierre-Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N5,"Reussens-Joostens, August"
35,http://www.odis.be/lnk/PS_35,Joannes Van Geetruyen-Van den Dries (1778-1844),F1N5,"Van Geetruyen, Joannes"
35,http://www.odis.be/lnk/PS_35,Joannes Van Geetruyen-Van den Dries (1778-1844),F4N5,"Van Geetruyen-Van den Dries, Joannes"
36,http://www.odis.be/lnk/PS_36,Jozef Mellaerts (1822-1864),F1N1,"Mellaerts, Joseph"
36,http://www.odis.be/lnk/PS_36,Jozef Mellaerts (1822-1864),F1N2,"Mellaerts, Jozef"
36,http://www.odis.be/lnk/PS_36,Jozef Mellaerts (1822-1864),F1N5,"Mellaerts, Josephus"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F1N1,"Vandewiel, Jan"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F1N2,"Vandewiel, Jean"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F1N5,"Vandewiel, Joannes"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F4N1,"Van de Wiel, Jan"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F4N2,"Van de Wiel, Jean"
37,http://www.odis.be/lnk/PS_37,Jean Van de Wiel (1822-1892),F4N5,"Van de Wiel, Joannes"
38,http://www.odis.be/lnk/PS_38,Julien De Meester (1832-1903),F1N1,"De Meester, Juliaan"
38,http://www.odis.be/lnk/PS_38,Julien De Meester (1832-1903),F1N5,"De Meester, Julien"
40,http://www.odis.be/lnk/PS_40,Frans Van Kuyck (1852-1915),F1N1,"Van Kuyck, Frans"
40,http://www.odis.be/lnk/PS_40,Frans Van Kuyck (1852-1915),F1N5,"Van Kuyck, Petrus"
41,http://www.odis.be/lnk/PS_41,Laurent Veydt (1800-1877),F1N5,"Veydt, Laurent"
41,http://www.odis.be/lnk/PS_41,Laurent Veydt (1800-1877),F4N5,"Veijdt, Laurent"
42,http://www.odis.be/lnk/PS_42,Corneille Scheppers-Estrix (1768-1841),F1N1,"Scheppers, Corneille"
42,http://www.odis.be/lnk/PS_42,Corneille Scheppers-Estrix (1768-1841),F1N5,"Scheppers, Cornelius"
42,http://www.odis.be/lnk/PS_42,Corneille Scheppers-Estrix (1768-1841),F4N1,"Scheppers-Estrix, Corneille"
42,http://www.odis.be/lnk/PS_42,Corneille Scheppers-Estrix (1768-1841),F4N5,"Scheppers-Estrix, Cornelius"
43,http://www.odis.be/lnk/PS_43,Jan Gerard Smolderen (1773-1854),F1N1,"Smolderen, Jan Gerard"
43,http://www.odis.be/lnk/PS_43,Jan Gerard Smolderen (1773-1854),F1N2,"Smolderen, Jean Gérard"
43,http://www.odis.be/lnk/PS_43,Jan Gerard Smolderen (1773-1854),F1N5,"Smolderen, Joannes"
44,http://www.odis.be/lnk/PS_44,Jean Charles Masen (1789-1846),F1N1,"Masen, Jan-Karel"
44,http://www.odis.be/lnk/PS_44,Jean Charles Masen (1789-1846),F1N2,"Masen, Jean Charles"
44,http://www.odis.be/lnk/PS_44,Jean Charles Masen (1789-1846),F1N5,"Masen, Joannes"
45,http://www.odis.be/lnk/PS_45,Petrus Jans ([1760]-1837),F1N1,"Jans, Peter"
45,http://www.odis.be/lnk/PS_45,Petrus Jans ([1760]-1837),F1N5,"Jans, Petrus"
46,http://www.odis.be/lnk/PS_46,Léonard Ooms (1798-1874),F1N1,"Ooms, Léonard"
46,http://www.odis.be/lnk/PS_46,Léonard Ooms (1798-1874),F1N5,"Ooms, Léonard"
49,http://www.odis.be/lnk/PS_49,Joannes Baptista Pauwels (1781-1857),F1N1,"Pauwels, Jan Baptist"
49,http://www.odis.be/lnk/PS_49,Joannes Baptista Pauwels (1781-1857),F1N5,"Pauwels, Joannes Baptista"
50,http://www.odis.be/lnk/PS_50,François de Wael (1768-1857),F1N1,"de Wael, Frans"
50,http://www.odis.be/lnk/PS_50,François de Wael (1768-1857),F1N5,"de Wael, François"
51,http://www.odis.be/lnk/PS_51,Egidius Brants (1791-1864),F1N1,"Brants, Egide"
51,http://www.odis.be/lnk/PS_51,Egidius Brants (1791-1864),F1N2,"Brants, Gilles"
51,http://www.odis.be/lnk/PS_51,Egidius Brants (1791-1864),F1N5,"Brants, Egidius"
52,http://www.odis.be/lnk/PS_52,Eugène van Havre-Cornelissen (1804-1854),F1N1,"van Havre, Eugeen"
52,http://www.odis.be/lnk/PS_52,Eugène van Havre-Cornelissen (1804-1854),F1N5,"van Havre, Eugène"
52,http://www.odis.be/lnk/PS_52,Eugène van Havre-Cornelissen (1804-1854),F4N1,"van Havre-Cornelissen, Eugeen"
52,http://www.odis.be/lnk/PS_52,Eugène van Havre-Cornelissen (1804-1854),F4N5,"van Havre-Cornelissen, Eugène"
53,http://www.odis.be/lnk/PS_53,Edouard Moretus-du Bois (1804-1880),F1N5,"Moretus, Edouard"
53,http://www.odis.be/lnk/PS_53,Edouard Moretus-du Bois (1804-1880),F4N5,"Moretus-du Bois, Edouard"
53,http://www.odis.be/lnk/PS_53,Edouard Moretus-du Bois (1804-1880),F5N5,"Moretus-Dubois, Edouard"
53,http://www.odis.be/lnk/PS_53,Edouard Moretus-du Bois (1804-1880),F6N5,"Moretus-Plantin, Edouard"
54,http://www.odis.be/lnk/PS_54,Joseph Ullens-Van den Cruyse (1792-1859),F1N1,"Ullens, Joseph"
54,http://www.odis.be/lnk/PS_54,Joseph Ullens-Van den Cruyse (1792-1859),F1N5,"Ullens, Josephus"
